Time,PID,Tickets,Pass,Stride,Runtime
100,1,8,7871,128,1
100,2,8,11691560,128,0
100,5,1,11692863,1024,1
100,4,8,11691939,128,2
100,6,2,11692864,512,2
100,7,4,11692609,256,3
100,8,8,11692483,128,5
100,9,16,11692420,64,9
100,10,32,11692389,32,17
100,11,32,11692390,32,17
100,12,32,11692391,32,17
100,13,32,11692360,32,16
100,14,32,11692361,32,16
228,1,8,7871,128,1
228,2,8,11691560,128,0
228,5,1,11693887,1024,2
228,4,8,11691939,128,2
228,6,2,11693376,512,3
228,7,4,11693121,256,5
228,8,8,11693123,128,10
228,9,16,11693124,64,20
228,10,32,11693093,32,39
228,11,32,11693062,32,38
228,12,32,11693063,32,38
228,13,32,11693064,32,38
228,14,32,11693065,32,38
362,1,8,7871,128,1
362,2,8,11691560,128,0
362,5,1,11693887,1024,2
362,4,8,11691939,128,2
362,6,2,11693888,512,4
362,7,4,11693889,256,8
362,8,8,11693891,128,16
362,9,16,11693828,64,31
362,10,32,11693797,32,61
362,11,32,11693798,32,61
362,12,32,11693799,32,61
362,13,32,11693800,32,61
362,14,32,11693769,32,60
490,1,8,7871,128,1
490,2,8,11691560,128,0
490,5,1,11694911,1024,3
490,4,8,11691939,128,2
490,6,2,11694912,512,6
490,7,4,11694657,256,11
490,8,8,11694531,128,21
490,9,16,11694532,64,42
490,10,32,11694469,32,82
490,11,32,11694470,32,82
490,12,32,11694471,32,82
490,13,32,11694472,32,82
490,14,32,11694473,32,82
623,1,8,7871,128,1
623,2,8,11691560,128,0
623,5,1,11695935,1024,4
623,4,8,11691939,128,2
623,6,2,11695424,512,7
623,7,4,11695425,256,14
623,8,8,11695299,128,27
623,9,16,11695236,64,53
623,10,32,11695205,32,105
623,11,32,11695174,32,104
623,12,32,11695175,32,104
623,13,32,11695176,32,104
623,14,32,11695177,32,104
756,1,8,7871,128,1
756,2,8,11691560,128,0
756,5,1,11695935,1024,4
756,4,8,11691939,128,2
756,6,2,11695936,512,8
756,7,4,11695937,256,16
756,8,8,11695939,128,32
756,9,16,11695940,64,64
756,10,32,11695909,32,127
756,11,32,11695910,32,127
756,12,32,11695911,32,127
756,13,32,11695912,32,127
756,14,32,11695913,32,127
884,1,8,7871,128,1
884,2,8,11691560,128,0
884,5,1,11696959,1024,5
884,4,8,11691939,128,2
884,6,2,11696960,512,10
884,7,4,11696705,256,19
884,8,8,11696707,128,38
884,9,16,11696644,64,75
884,10,32,11696581,32,148
884,11,32,11696582,32,148
884,12,32,11696583,32,148
884,13,32,11696584,32,148
884,14,32,11696585,32,148
1017,1,8,7871,128,1
1017,2,8,11691560,128,0
1017,5,1,11697983,1024,6
1017,4,8,11691939,128,2
1017,6,2,11697472,512,11
1017,7,4,11697473,256,22
1017,8,8,11697347,128,43
1017,9,16,11697348,64,86
1017,10,32,11697317,32,171
1017,11,32,11697318,32,171
1017,12,32,11697287,32,170
1017,13,32,11697288,32,170
1017,14,32,11697289,32,170
1145,1,8,7871,128,1
1145,2,8,11691560,128,0
1145,5,1,11699007,1024,7
1145,4,8,11691939,128,2
1145,6,2,11698496,512,13
1145,7,4,11697985,256,24
1145,8,8,11697987,128,48
1145,9,16,11697988,64,96
1145,10,32,11697989,32,192
1145,11,32,11697990,32,192
1145,12,32,11697991,32,192
1145,13,32,11697992,32,192
1145,14,32,11697993,32,192
1278,1,8,7871,128,1
1278,2,8,11691560,128,0
1278,5,1,11699007,1024,7
1278,4,8,11691939,128,2
1278,6,2,11699008,512,14
1278,7,4,11698753,256,27
1278,8,8,11698755,128,54
1278,9,16,11698756,64,108
1278,10,32,11698725,32,215
1278,11,32,11698694,32,214
1278,12,32,11698695,32,214
1278,13,32,11698696,32,214
1278,14,32,11698697,32,214
1411,1,8,7871,128,1
1411,2,8,11691560,128,0
1411,5,1,11700031,1024,8
1411,4,8,11691939,128,2
1411,6,2,11699520,512,15
1411,7,4,11699521,256,30
1411,8,8,11699523,128,60
1411,9,16,11699460,64,119
1411,10,32,11699429,32,237
1411,11,32,11699430,32,237
1411,12,32,11699399,32,236
1411,13,32,11699400,32,236
1411,14,32,11699401,32,236
1539,1,8,7871,128,1
1539,2,8,11691560,128,0
1539,5,1,11701055,1024,9
1539,4,8,11691939,128,2
1539,6,2,11700544,512,17
1539,7,4,11700289,256,33
1539,8,8,11700163,128,65
1539,9,16,11700100,64,129
1539,10,32,11700101,32,258
1539,11,32,11700102,32,258
1539,12,32,11700103,32,258
1539,13,32,11700104,32,258
1539,14,32,11700073,32,257
1672,1,8,7871,128,1
1672,2,8,11691560,128,0
1672,5,1,11701055,1024,9
1672,4,8,11691939,128,2
1672,6,2,11701056,512,18
1672,7,4,11701057,256,36
1672,8,8,11700931,128,71
1672,9,16,11700868,64,141
1672,10,32,11700805,32,280
1672,11,32,11700806,32,280
1672,12,32,11700807,32,280
1672,13,32,11700808,32,280
1672,14,32,11700809,32,280
1805,1,8,7871,128,1
1805,2,8,11691560,128,0
1805,5,1,11702079,1024,10
1805,4,8,11691939,128,2
1805,6,2,11701568,512,19
1805,7,4,11701569,256,38
1805,8,8,11701571,128,76
1805,9,16,11701572,64,152
1805,10,32,11701541,32,303
1805,11,32,11701542,32,303
1805,12,32,11701543,32,303
1805,13,32,11701512,32,302
1805,14,32,11701513,32,302
1933,1,8,7871,128,1
1933,2,8,11691560,128,0
1933,5,1,11703103,1024,11
1933,4,8,11691939,128,2
1933,6,2,11702592,512,21
1933,7,4,11702337,256,41
1933,8,8,11702211,128,81
1933,9,16,11702212,64,162
1933,10,32,11702213,32,324
1933,11,32,11702214,32,324
1933,12,32,11702215,32,324
1933,13,32,11702216,32,324
1933,14,32,11702217,32,324
2066,1,8,7871,128,1
2066,2,8,11691560,128,0
2066,5,1,11703103,1024,11
2066,4,8,11691939,128,2
2066,6,2,11703104,512,22
2066,7,4,11703105,256,44
2066,8,8,11702979,128,87
2066,9,16,11702980,64,174
2066,10,32,11702949,32,347
2066,11,32,11702918,32,346
2066,12,32,11702919,32,346
2066,13,32,11702920,32,346
2066,14,32,11702921,32,346
2199,1,8,7871,128,1
2199,2,8,11691560,128,0
2199,5,1,11704127,1024,12
2199,4,8,11691939,128,2
2199,6,2,11704128,512,24
2199,7,4,11703873,256,47
2199,8,8,11703747,128,93
2199,9,16,11703684,64,185
2199,10,32,11703653,32,369
2199,11,32,11703622,32,368
2199,12,32,11703623,32,368
2199,13,32,11703624,32,368
2199,14,32,11703625,32,368
2327,1,8,7871,128,1
2327,2,8,11691560,128,0
2327,5,1,11705151,1024,13
2327,4,8,11691939,128,2
2327,6,2,11704640,512,25
2327,7,4,11704385,256,49
2327,8,8,11704387,128,98
2327,9,16,11704324,64,195
2327,10,32,11704325,32,390
2327,11,32,11704326,32,390
2327,12,32,11704327,32,390
2327,13,32,11704328,32,390
2327,14,32,11704329,32,390
2460,1,8,7871,128,1
2460,2,8,11691560,128,0
2460,5,1,11705151,1024,13
2460,4,8,11691939,128,2
2460,6,2,11705152,512,26
2460,7,4,11705153,256,52
2460,8,8,11705155,128,104
2460,9,16,11705092,64,207
2460,10,32,11705061,32,413
2460,11,32,11705030,32,412
2460,12,32,11705031,32,412
2460,13,32,11705032,32,412
2460,14,32,11705033,32,412
2597,1,8,7871,128,1
2597,2,8,11691560,128,0
2597,5,1,11706175,1024,14
2597,4,8,11691939,128,2
2597,6,2,11706176,512,28
2597,7,4,11705921,256,55
2597,8,8,11705795,128,109
2597,9,16,11705796,64,218
2597,10,32,11705797,32,436
2597,11,32,11705766,32,435
2597,12,32,11705767,32,435
2597,13,32,11705768,32,435
2597,14,32,11705769,32,435
2725,1,8,7871,128,1
2725,2,8,11691560,128,0
2725,5,1,11707199,1024,15
2725,4,8,11691939,128,2
2725,6,2,11706688,512,29
2725,7,4,11706689,256,58
2725,8,8,11706563,128,115
2725,9,16,11706500,64,229
2725,10,32,11706469,32,457
2725,11,32,11706470,32,457
2725,12,32,11706439,32,456
2725,13,32,11706440,32,456
2725,14,32,11706441,32,456
2725,15,8,11691939,128,0
2725,16,8,11691939,128,0
2725,17,8,11691939,128,0
2725,18,8,11691939,128,0
2725,19,8,11691939,128,0
2725,20,8,11691939,128,0
2914,1,8,7871,128,1
2914,2,8,11691560,128,0
2914,5,1,11707199,1024,15
2914,4,8,11691939,128,3
2914,6,2,11706688,512,29
2914,7,4,11706689,256,58
2914,8,8,11706563,128,115
2914,9,16,11706500,64,229
2914,10,32,11706469,32,457
2914,11,32,11706470,32,457
2914,12,32,11706439,32,456
2914,13,32,11706440,32,456
2914,14,32,11706441,32,456
2914,15,32,11694051,32,66
2914,16,32,11694051,32,66
2914,17,8,11694115,128,17
2914,18,2,11694499,512,5
2914,19,8,11694115,128,17
2914,20,8,11694115,128,17
3085,1,8,7871,128,1
3085,2,8,11691560,128,0
3085,5,1,11707199,1024,15
3085,4,8,11691939,128,3
3085,6,2,11706688,512,29
3085,7,4,11706689,256,58
3085,8,8,11706563,128,115
3085,9,16,11706500,64,229
3085,10,32,11706469,32,457
3085,11,32,11706470,32,457
3085,12,32,11706439,32,456
3085,13,32,11706440,32,456
3085,14,32,11706441,32,456
3085,15,32,11696035,32,128
3085,16,32,11696003,32,127
3085,17,8,11696035,128,32
3085,18,2,11696035,512,8
3085,19,8,11696035,128,32
3085,20,8,11696035,128,32
3256,1,8,7871,128,1
3256,2,8,11691560,128,0
3256,5,1,11707199,1024,15
3256,4,8,11691939,128,3
3256,6,2,11706688,512,29
3256,7,4,11706689,256,58
3256,8,8,11706563,128,115
3256,9,16,11706500,64,229
3256,10,32,11706469,32,457
3256,11,32,11706470,32,457
3256,12,32,11706439,32,456
3256,13,32,11706440,32,456
3256,14,32,11706441,32,456
3256,15,32,11697955,32,188
3256,16,32,11697955,32,188
3256,17,8,11698083,128,48
3256,18,2,11698083,512,12
3256,19,8,11697955,128,47
3256,20,8,11697955,128,47
3427,1,8,7871,128,1
3427,2,8,11691560,128,0
3427,5,1,11707199,1024,15
3427,4,8,11691939,128,3
3427,6,2,11706688,512,29
3427,7,4,11706689,256,58
3427,8,8,11706563,128,115
3427,9,16,11706500,64,229
3427,10,32,11706469,32,457
3427,11,32,11706470,32,457
3427,12,32,11706439,32,456
3427,13,32,11706440,32,456
3427,14,32,11706441,32,456
3427,15,32,11699875,32,248
3427,16,32,11699875,32,248
3427,17,8,11700003,128,63
3427,18,2,11700131,512,16
3427,19,8,11700003,128,63
3427,20,8,11700003,128,63
3598,1,8,7871,128,1
3598,2,8,11691560,128,0
3598,5,1,11707199,1024,15
3598,4,8,11691939,128,3
3598,6,2,11706688,512,29
3598,7,4,11706689,256,58
3598,8,8,11706563,128,115
3598,9,16,11706500,64,229
3598,10,32,11706469,32,457
3598,11,32,11706470,32,457
3598,12,32,11706439,32,456
3598,13,32,11706440,32,456
3598,14,32,11706441,32,456
3598,15,32,11701827,32,309
3598,16,32,11701827,32,309
3598,17,8,11701923,128,78
3598,18,2,11702179,512,20
3598,19,8,11701923,128,78
